DATAFLOW,LAST UPDATE,freq,n_item,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2016,10.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2017,10.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2018,10.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2019,9.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2020,12.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2021,11.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2022,10.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,ES,2023,11.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2015,13.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2016,12.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2017,11.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2018,10.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2019,9.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2020,10.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2021,9.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,EU27_2020,2022,9.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2015,2.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2016,2.5,u
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2017,2.8,u
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2018,2.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2019,2.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2020,2.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2021,2.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2022,3.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FI,2023,3.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2015,8.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2016,7.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2017,7.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2018,7.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2019,7.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2020,7.8,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2021,7.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,FR,2022,8.7,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2015,20.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2016,17.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2017,16.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2018,15.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2019,13.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2020,13.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2021,13.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2022,11.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HR,2023,9.4,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2015,31.6,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2016,27.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2017,21.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2018,17.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2019,15.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2020,15.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2021,15.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2022,15.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,HU,2023,16.8,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2015,6.7,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2016,5.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2017,5.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2018,4.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2019,4.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,IE,2020,4.1,b
