DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2008,19.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2009,22.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2010,25.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2011,28.5,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2012,32.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2013,34.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2014,35.1,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2015,38.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2016,39.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2017,40.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2018,40.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2019,39.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2020,40.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2021,43.3,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2022,43.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,CZ,2023,41.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2000,20.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2001,20.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2002,19.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2003,20.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2004,22.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2005,22.1,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2006,22.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2007,23.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2008,24.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2009,26.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2010,27.2,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2011,29.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2012,31.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2013,31.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2014,28.9,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2015,30.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2016,31.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2017,32.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2018,33.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2019,34.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2020,36.6,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2021,38.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2022,39.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DE,2023,41.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2000,31.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2001,35.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2002,36.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2003,38.6,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2004,41.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2005,44.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2006,45.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2007,40.4,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2008,39.9,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2009,44.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2010,44.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2011,46.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2012,49.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2013,50.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2014,49.2,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2015,52.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2016,51.5,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2017,53.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2018,54.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2019,55.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2020,55.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2021,57.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2022,58.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,DK,2023,57.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2002,27.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2003,28.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2004,30.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2005,31.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2006,33.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2007,33.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2008,34.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2009,35.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2010,36.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2011,37.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2012,38.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2013,39.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2014,40.2,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2015,41.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2016,41.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2017,42.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2018,43.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2019,44.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2020,46.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2021,47.6,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2022,48.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EA20,2023,49.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2000,36.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2001,34.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2002,34.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2003,33.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2004,34.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,EE,2005,39.0,
